PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160714572;;;;;DISPOSAL REFNO:;D20160720026
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;744977;EW 3in EW PRINTED SALE;26;19.75;513.5;0;0
2;425404;GIFT WRAP HMK XW CONTEMPORARY 12425404;52;13.50;702;3.1;161.2
3;425484;GIFT WRAP HMK XW PASKONG PINOY 12425484;20;13.50;270;3.15;63
4;528044;GIFT WRAP ROLL HMK 3IN HP 12528044;29;39.50;1145.5;9.19;266.51
5;528123;GIFTWRAP ROLL HMK TRADE 3IN WITH GIFT TAG LP 12528123;10;29.75;297.5;12.03;120.3
6;528084;GIFT WRAP ROLL HMK 3IN LP 12528084;24;21.75;522;7.68;184.39
7;528024;GIFT WRAP ROLL HMK 10IN HP 12528024;10;132.50;1325;30.54;305.4
8;528064;GIFT WRAP ROLL HMK 10IN LP 12528064;22;65.50;1441;23.07;507.54
;;;193;;6216.5;;1608.34
