PRIMESTOCK; AND; DEFECTIVE ITEMS;;;;;
TRANSACTION:;T_INV0120160820724;;;;;DISPOSAL REFNO:;D20160824009
TYPE: ; CHOPPING;;;;;POSTED DATE:;0000-00-00
LINE NO;ITEM #;DESCRIPTION;TOTAL QTY;SRP;SRP AMOUNT;PRODUCT COST;PROD COST AMOUNT
1;939807;GIFT BAG HMK PB PINK EMBOSSED LRG 11939807;1;74.00;74;25.75;25.75
2;939322;GIFT BAG HMK PB BLUE WINE 11939322;2;30.00;60;41.28;41.28
3;939111;GIFT BAG HMK PB LT GREEN GLITTERED;1;44.50;44.5;15.05;15.05
4;939483;GIFT BAG HMK PB GOLD MAPLE MET 11939483;3;46.50;139.5;34.4;51.6
5;758074;GIFT BAG HMK XHB BIG FORMAL 12758074;1;52.50;52.5;10.3;10.3
6;628064;GIFT BAG HMK HB MINI BIRTHDAY 11628064;3;32.50;97.5;22.2;22.2
7;629414;GIFT BAG HMK HB MINI ANYDAY LOVE 11629414;3;32.50;97.5;21.36;21.36
8;939312;GIFT BAG HMK PB RED WINE 11939312;1;30.00;30;20.64;20.64
9;628134;GIFT BAG HMK HB BIG BIRTHDAY 11628134;1;52.50;52.5;11.27;11.27
10;939213;GIFT BAG HMK PB WINE PAISLEY 11939213;2;27.00;54;26;26
11;628214;GIFT BAG HMK HB WEDDING 11628214;3;52.50;157.5;14.89;44.67
12;628024;GIFT BAG HMK HB TINY BIRTHDAY 11628024;2;24.50;49;11.6;11.6
13;629404;GIFT BAG HMK HB MINI ANYDAY LOVE 11629404;1;32.50;32.5;7.12;7.12
14;939302;GIFT BAG HMK PB BLACK WINE 11939302;1;30.00;30;20.64;20.64
15;629165;GIFT BAG HMK HB SMALL PINK VICTORIAN 11629165;5;42.50;212.5;22.22;55.54
16;629546;GIFT BAG HMK HB TINY MASCULINE PARTY FUN 11629546;1;24.50;24.5;5.46;5.46
17;762470;GIFT BAG IMPTD PB BLUE XL;3;42.50;127.5;15.5;46.5
18;762480;GIFT BAG IMPTD PB GRN XL;5;42.50;212.5;31;77.5
19;939513;GIFT BAG HMK PB RED STRIPES SML 11939513;1;32.50;32.5;11.5;11.5
20;939913;GIFT BAG HMK PB RED KRAFT 11939913;1;39.50;39.5;14.35;14.35
21;629531;GIFT BAG HMK HB MINI LETTER SQUARES;1;32.50;32.5;9.12;9.12
22;628054;GIFT BAG HMK HB MINI BIRTHDAY 11628054;2;32.50;65;14.8;14.8
23;628084;GIFT BAG HMK HB MINI BIRTHDAY 11628084;1;32.50;32.5;7.4;7.4
24;629885;GIFT BAG HMK HB MINI FEMININE ANYDAY 11629885;1;32.50;32.5;7;7
25;762134;GIFT BAG IMPTD PB LT PINK CUFF WINE 41762134;1;37.00;37;15.18;15.18
26;762582;GIFT BAG IMPTD PB RED SINGLE HANDLE;2;39.50;79;12.94;25.88
27;762592;GIFT BAG IMPTD PB BLU SINGLE HANDLE;2;39.50;79;12.94;25.88
28;839328;GBOX BLACK W/ SWIRLS;1;20.00;20;15.75;15.75
